,filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes,annotation_shape,bounding_box_coords,parent_label,defect_class
87046,M0877C026000.jpg,13458,{},4,0,"{""name"":""rect"",""x"":22,""y"":43,""width"":4,""height"":35}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[22, 26, 43, 78]",Contact,FrontGridInterruption
58751,M0622C018010.jpg,13486,{},1,0,"{""name"":""rect"",""x"":77,""y"":156,""width"":9,""height"":18}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[77, 86, 156, 174]",Contact,FrontGridInterruption
37924,M0393C037000.jpg,16260,{},23,14,"{""name"":""rect"",""x"":127,""y"":17,""width"":7,""height"":31}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[127, 134, 17, 48]",Contact,FrontGridInterruption
47923,M0453C014100.jpg,16112,{},1,0,"{""name"":""rect"",""x"":68,""y"":175,""width"":2,""height"":60}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[68, 70, 175, 235]",Contact,FrontGridInterruption
67304,M0635C032000.jpg,15888,{},35,24,"{""name"":""rect"",""x"":189,""y"":134,""width"":7,""height"":38}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[189, 196, 134, 172]",Contact,FrontGridInterruption
29230,M0378C003000.jpg,15938,{},14,0,"{""name"":""rect"",""x"":250,""y"":89,""width"":3,""height"":47}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[250, 253, 89, 136]",Contact,FrontGridInterruption
62971,M0632C007000.jpg,13606,{},11,0,"{""name"":""rect"",""x"":47,""y"":70,""width"":6,""height"":40}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[47, 53, 70, 110]",Contact,FrontGridInterruption
52750,M0571C039000.jpg,13079,{},1,0,"{""name"":""polygon"",""all_points_x"":[158,158,165,165,158],""all_points_y"":[10,25,25,11,10]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[158, 165, 10, 25]",Contact,FrontGridInterruption
3620,M0008C004000.jpg,10948,{},3,0,"{""name"":""rect"",""x"":117,""y"":3,""width"":8,""height"":25}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[117, 125, 3, 28]",Contact,FrontGridInterruption
87931,M0907C014100.jpg,18154,{},1,0,"{""name"":""rect"",""x"":27,""y"":67,""width"":5,""height"":29}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[27, 32, 67, 96]",Contact,FrontGridInterruption
25742,M0363C025000.jpg,17240,{},16,14,"{""name"":""rect"",""x"":278,""y"":276,""width"":10,""height"":14}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[278, 288, 276, 290]",Contact,FrontGridInterruption
76388,M0714C023000.jpg,12882,{},8,0,"{""name"":""rect"",""x"":3,""y"":207,""width"":4,""height"":30}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[3, 7, 207, 237]",Contact,FrontGridInterruption
43408,M0398C059000.jpg,16313,{},23,16,"{""name"":""rect"",""x"":26,""y"":102,""width"":6,""height"":36}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[26, 32, 102, 138]",Contact,FrontGridInterruption
74609,M0644C026000.jpg,13182,{},5,0,"{""name"":""rect"",""x"":110,""y"":5,""width"":4,""height"":25}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[110, 114, 5, 30]",Contact,FrontGridInterruption
27986,M0374C045100.jpg,16538,{},5,2,"{""name"":""rect"",""x"":93,""y"":64,""width"":3,""height"":47}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[93, 96, 64, 111]",Contact,FrontGridInterruption
24868,M0362C006000.jpg,16153,{},19,7,"{""name"":""rect"",""x"":249,""y"":6,""width"":9,""height"":35}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[249, 258, 6, 41]",Contact,FrontGridInterruption
75647,M0711C018000.jpg,13753,{},9,1,"{""name"":""polygon"",""all_points_x"":[195,197,207,205,195],""all_points_y"":[135,156,156,137,135]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[195, 207, 135, 156]",Contact,FrontGridInterruption
3261,M0005C043010.jpg,22729,{},4,2,"{""name"":""rect"",""x"":202,""y"":235,""width"":5,""height"":38}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[202, 207, 235, 273]",Contact,FrontGridInterruption
35052,M0390C050000.jpg,16074,{},14,0,"{""name"":""rect"",""x"":36,""y"":237,""width"":13,""height"":49}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[36, 49, 237, 286]",Contact,FrontGridInterruption
51439,M0500C016000.jpg,13356,{},4,0,"{""name"":""rect"",""x"":266,""y"":79,""width"":5,""height"":26}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[266, 271, 79, 105]",Contact,FrontGridInterruption
86809,M0876C044000.jpg,13598,{},4,0,"{""name"":""rect"",""x"":30,""y"":146,""width"":3,""height"":30}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[30, 33, 146, 176]",Contact,FrontGridInterruption
9678,M0133C053000.jpg,16972,{},9,0,"{""name"":""rect"",""x"":7,""y"":69,""width"":7,""height"":42}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[7, 14, 69, 111]",Contact,FrontGridInterruption
78811,M0763C008100.jpg,16407,{},1,0,"{""name"":""rect"",""x"":54,""y"":12,""width"":3,""height"":14}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[54, 57, 12, 26]",Contact,FrontGridInterruption
43389,M0398C058000.jpg,16021,{},21,18,"{""name"":""rect"",""x"":21,""y"":92,""width"":3,""height"":46}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[21, 24, 92, 138]",Contact,FrontGridInterruption
39099,M0394C060000.jpg,15944,{},13,1,"{""name"":""rect"",""x"":29,""y"":23,""width"":8,""height"":21}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[29, 37, 23, 44]",Contact,FrontGridInterruption
76189,M0713C026000.jpg,14128,{},9,2,"{""name"":""polygon"",""all_points_x"":[72,72,78,78,72],""all_points_y"":[221,250,250,222,221]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[72, 78, 221, 250]",Contact,FrontGridInterruption
16722,M0192C012010.jpg,209734,{},50,2,"{""name"":""rect"",""x"":314,""y"":38,""width"":20,""height"":56}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[314, 334, 38, 94]",Contact,FrontGridInterruption
87839,M0906C033100.jpg,17335,{},2,0,"{""name"":""rect"",""x"":265,""y"":249,""width"":5,""height"":30}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[265, 270, 249, 279]",Contact,FrontGridInterruption
25311,M0362C059000.jpg,16435,{},7,0,"{""name"":""rect"",""x"":33,""y"":15,""width"":9,""height"":25}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[33, 42, 15, 40]",Contact,FrontGridInterruption
36917,M0392C044000.jpg,15824,{},22,0,"{""name"":""rect"",""x"":69,""y"":16,""width"":5,""height"":14}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[69, 74, 16, 30]",Contact,FrontGridInterruption
57989,M0617C049000.jpg,13390,{},5,0,"{""name"":""rect"",""x"":91,""y"":49,""width"":10,""height"":29}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[91, 101, 49, 78]",Contact,FrontGridInterruption
43972,M0399C031000.jpg,16814,{},25,0,"{""name"":""rect"",""x"":12,""y"":4,""width"":4,""height"":39}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[12, 16, 4, 43]",Contact,FrontGridInterruption
57371,M0600C043100.jpg,17589,{},2,1,"{""name"":""polygon"",""all_points_x"":[245,246,250,250,245],""all_points_y"":[218,230,230,217,218]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[245, 250, 217, 230]",Contact,FrontGridInterruption
11162,M0136C044010.jpg,15231,{},1,0,"{""name"":""rect"",""x"":46,""y"":52,""width"":7,""height"":37}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[46, 53, 52, 89]",Contact,FrontGridInterruption
3298,M0005C054010.jpg,22120,{},4,1,"{""name"":""rect"",""x"":267,""y"":235,""width"":4,""height"":23}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[267, 271, 235, 258]",Contact,FrontGridInterruption
81410,M0824C016000.jpg,15627,{},15,3,"{""name"":""rect"",""x"":40,""y"":154,""width"":16,""height"":75}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[40, 56, 154, 229]",Contact,FrontGridInterruption
50334,M0471C002000.jpg,13940,{},6,0,"{""name"":""rect"",""x"":134,""y"":164,""width"":4,""height"":25}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[134, 138, 164, 189]",Contact,FrontGridInterruption
56822,M0595C048100.jpg,17065,{},1,0,"{""name"":""polygon"",""all_points_x"":[285,285,292,292,285],""all_points_y"":[83,111,111,85,83]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[285, 292, 83, 111]",Contact,FrontGridInterruption
51302,M0490C018000.jpg,11473,{},3,2,"{""name"":""rect"",""x"":102,""y"":128,""width"":4,""height"":20}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[102, 106, 128, 148]",Contact,FrontGridInterruption
27092,M0364C053000.jpg,17220,{},12,10,"{""name"":""rect"",""x"":183,""y"":1,""width"":4,""height"":19}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[183, 187, 1, 20]",Contact,FrontGridInterruption
11820,M0138C009100.jpg,17107,{},4,0,"{""name"":""rect"",""x"":195,""y"":141,""width"":8,""height"":70}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[195, 203, 141, 211]",Contact,FrontGridInterruption
23969,M0360C049000.jpg,15650,{},8,4,"{""name"":""rect"",""x"":269,""y"":253,""width"":9,""height"":30}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[269, 278, 253, 283]",Contact,FrontGridInterruption
15659,M0170C003010.jpg,19464,{},9,0,"{""name"":""rect"",""x"":56,""y"":52,""width"":8,""height"":52}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[56, 64, 52, 104]",Contact,FrontGridInterruption
78626,M0762C006100.jpg,15916,{},3,0,"{""name"":""rect"",""x"":102,""y"":20,""width"":2,""height"":11}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[102, 104, 20, 31]",Contact,FrontGridInterruption
29024,M0376C047100.jpg,17085,{},8,3,"{""name"":""rect"",""x"":214,""y"":198,""width"":5,""height"":57}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[214, 219, 198, 255]",Contact,FrontGridInterruption
9489,M0133C029000.jpg,15817,{},5,0,"{""name"":""rect"",""x"":114,""y"":69,""width"":7,""height"":43}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[114, 121, 69, 112]",Contact,FrontGridInterruption
47863,M0452C018100.jpg,15781,{},1,0,"{""name"":""rect"",""x"":98,""y"":166,""width"":3,""height"":26}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[98, 101, 166, 192]",Contact,FrontGridInterruption
74348,M0643C060000.jpg,15887,{},19,17,"{""name"":""rect"",""x"":70,""y"":209,""width"":6,""height"":41}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[70, 76, 209, 250]",Contact,FrontGridInterruption
30988,M0379C045000.jpg,16030,{},12,0,"{""name"":""rect"",""x"":142,""y"":1,""width"":4,""height"":26}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[142, 146, 1, 27]",Contact,FrontGridInterruption
28679,M0375C057100.jpg,16987,{},7,0,"{""name"":""rect"",""x"":173,""y"":67,""width"":4,""height"":29}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[173, 177, 67, 96]",Contact,FrontGridInterruption
48331,M0455C058100.jpg,16822,{},2,0,"{""name"":""rect"",""x"":232,""y"":271,""width"":4,""height"":13}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[232, 236, 271, 284]",Contact,FrontGridInterruption
57953,M0617C042000.jpg,15862,{},9,2,"{""name"":""rect"",""x"":190,""y"":14,""width"":8,""height"":24}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[190, 198, 14, 38]",Contact,FrontGridInterruption
16627,M0172C041010.jpg,18789,{},6,0,"{""name"":""rect"",""x"":196,""y"":53,""width"":9,""height"":48}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[196, 205, 53, 101]",Contact,FrontGridInterruption
19943,M0336C041100.jpg,17887,{},19,2,"{""name"":""rect"",""x"":219,""y"":6,""width"":15,""height"":22}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[219, 234, 6, 28]",Contact,FrontGridInterruption
26578,M0364C017000.jpg,18522,{},14,7,"{""name"":""rect"",""x"":14,""y"":6,""width"":3,""height"":12}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[14, 17, 6, 18]",Contact,FrontGridInterruption
12483,M0150C042000.jpg,15273,{},7,0,"{""name"":""rect"",""x"":65,""y"":53,""width"":8,""height"":52}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[65, 73, 53, 105]",Contact,FrontGridInterruption
84685,M0846C031000.jpg,8916,{},6,0,"{""name"":""rect"",""x"":154,""y"":3,""width"":6,""height"":27}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[154, 160, 3, 30]",Contact,FrontGridInterruption
47213,M0444C003000.jpg,14502,{},2,0,"{""name"":""rect"",""x"":245,""y"":262,""width"":3,""height"":21}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[245, 248, 262, 283]",Contact,FrontGridInterruption
60135,M0629C007000.jpg,13587,{},9,0,"{""name"":""rect"",""x"":45,""y"":83,""width"":5,""height"":28}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[45, 50, 83, 111]",Contact,FrontGridInterruption
20057,M0336C053100.jpg,17671,{},17,0,"{""name"":""rect"",""x"":12,""y"":2,""width"":16,""height"":23}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[12, 28, 2, 25]",Contact,FrontGridInterruption
29184,M0377C045010.jpg,13869,{},1,0,"{""name"":""rect"",""x"":231,""y"":238,""width"":4,""height"":20}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[231, 235, 238, 258]",Contact,FrontGridInterruption
32812,M0389C021000.jpg,16587,{},34,0,"{""name"":""rect"",""x"":48,""y"":11,""width"":9,""height"":34}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[48, 57, 11, 45]",Contact,FrontGridInterruption
79838,M0768C024100.jpg,14737,{},3,0,"{""name"":""rect"",""x"":31,""y"":84,""width"":6,""height"":28}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[31, 37, 84, 112]",Contact,FrontGridInterruption
59422,M0628C030000.jpg,14872,{},12,6,"{""name"":""rect"",""x"":228,""y"":51,""width"":7,""height"":25}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[228, 235, 51, 76]",Contact,FrontGridInterruption
18905,M0335C033100.jpg,15823,{},7,0,"{""name"":""rect"",""x"":193,""y"":259,""width"":5,""height"":24}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[193, 198, 259, 283]",Contact,FrontGridInterruption
44941,M0400C031000.jpg,15898,{},17,7,"{""name"":""rect"",""x"":130,""y"":12,""width"":4,""height"":32}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[130, 134, 12, 44]",Contact,FrontGridInterruption
43769,M0399C017000.jpg,17046,{},11,5,"{""name"":""rect"",""x"":11,""y"":10,""width"":5,""height"":35}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[11, 16, 10, 45]",Contact,FrontGridInterruption
32500,M0388C060000.jpg,15804,{},10,0,"{""name"":""rect"",""x"":26,""y"":2,""width"":9,""height"":16}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[26, 35, 2, 18]",Contact,FrontGridInterruption
10452,M0135C038010.jpg,13860,{},9,0,"{""name"":""rect"",""x"":159,""y"":63,""width"":7,""height"":35}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[159, 166, 63, 98]",Contact,FrontGridInterruption
48564,M0456C059100.jpg,16790,{},2,0,"{""name"":""rect"",""x"":120,""y"":141,""width"":4,""height"":38}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[120, 124, 141, 179]",Contact,FrontGridInterruption
25149,M0362C042000.jpg,16577,{},10,3,"{""name"":""rect"",""x"":259,""y"":105,""width"":11,""height"":26}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[259, 270, 105, 131]",Contact,FrontGridInterruption
39494,M0395C026000.jpg,16953,{},20,18,"{""name"":""rect"",""x"":141,""y"":85,""width"":6,""height"":65}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[141, 147, 85, 150]",Contact,FrontGridInterruption
2777,M0004C009000.jpg,4279,{},22,2,"{""name"":""rect"",""x"":139,""y"":4,""width"":7,""height"":39}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[139, 146, 4, 43]",Contact,FrontGridInterruption
48532,M0456C050100.jpg,16313,{},4,0,"{""name"":""rect"",""x"":81,""y"":22,""width"":5,""height"":16}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[81, 86, 22, 38]",Contact,FrontGridInterruption
22589,M0358C009000.jpg,16592,{},9,4,"{""name"":""rect"",""x"":106,""y"":245,""width"":13,""height"":43}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[106, 119, 245, 288]",Contact,FrontGridInterruption
87762,M0905C050100.jpg,17233,{},4,0,"{""name"":""rect"",""x"":96,""y"":150,""width"":3,""height"":71}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[96, 99, 150, 221]",Contact,FrontGridInterruption
83217,M0835C025000.jpg,8127,{},2,0,"{""name"":""rect"",""x"":149,""y"":68,""width"":6,""height"":69}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[149, 155, 68, 137]",Contact,FrontGridInterruption
59812,M0628C050000.jpg,16313,{},31,13,"{""name"":""rect"",""x"":209,""y"":51,""width"":6,""height"":37}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[209, 215, 51, 88]",Contact,FrontGridInterruption
36861,M0392C041000.jpg,16752,{},30,18,"{""name"":""rect"",""x"":36,""y"":65,""width"":7,""height"":74}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[36, 43, 65, 139]",Contact,FrontGridInterruption
33941,M0389C056000.jpg,15751,{},13,1,"{""name"":""rect"",""x"":23,""y"":16,""width"":7,""height"":27}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[23, 30, 16, 43]",Contact,FrontGridInterruption
72616,M0641C015000.jpg,13551,{},1,0,"{""name"":""rect"",""x"":65,""y"":80,""width"":4,""height"":25}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[65, 69, 80, 105]",Contact,FrontGridInterruption
75106,M0704C022000.jpg,13360,{},1,0,"{""name"":""rect"",""x"":126,""y"":179,""width"":7,""height"":20}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[126, 133, 179, 199]",Contact,FrontGridInterruption
83309,M0836C019000.jpg,3113,{},11,0,"{""name"":""rect"",""x"":18,""y"":12,""width"":5,""height"":22}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[18, 23, 12, 34]",Contact,FrontGridInterruption
60552,M0629C024000.jpg,15452,{},16,10,"{""name"":""rect"",""x"":170,""y"":216,""width"":8,""height"":37}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[170, 178, 216, 253]",Contact,FrontGridInterruption
68715,M0636C049000.jpg,15264,{},30,20,"{""name"":""rect"",""x"":48,""y"":161,""width"":5,""height"":22}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[48, 53, 161, 183]",Contact,FrontGridInterruption
21455,M0339C050100.jpg,15537,{},4,3,"{""name"":""rect"",""x"":233,""y"":11,""width"":15,""height"":28}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[233, 248, 11, 39]",Contact,FrontGridInterruption
54023,M0578C035000.jpg,13510,{},3,0,"{""name"":""polygon"",""all_points_x"":[131,128,136,137,131],""all_points_y"":[215,249,249,214,215]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[128, 137, 214, 249]",Contact,FrontGridInterruption
79926,M0768C059100.jpg,16117,{},5,0,"{""name"":""rect"",""x"":32,""y"":47,""width"":5,""height"":30}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[32, 37, 47, 77]",Contact,FrontGridInterruption
81116,M0823C051000.jpg,10727,{},4,2,"{""name"":""rect"",""x"":42,""y"":114,""width"":9,""height"":48}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[42, 51, 114, 162]",Contact,FrontGridInterruption
20812,M0338C038100.jpg,15576,{},5,0,"{""name"":""rect"",""x"":117,""y"":133,""width"":9,""height"":43}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[117, 126, 133, 176]",Contact,FrontGridInterruption
76198,M0713C027000.jpg,14528,{},5,2,"{""name"":""polygon"",""all_points_x"":[14,14,10,10,14],""all_points_y"":[110,135,135,110,110]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[10, 14, 110, 135]",Contact,FrontGridInterruption
12654,M0151C006010.jpg,13443,{},4,0,"{""name"":""rect"",""x"":108,""y"":118,""width"":8,""height"":35}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[108, 116, 118, 153]",Contact,FrontGridInterruption
3487,M0007C015010.jpg,21980,{},2,0,"{""name"":""rect"",""x"":259,""y"":53,""width"":8,""height"":34}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[259, 267, 53, 87]",Contact,FrontGridInterruption
25189,M0362C046000.jpg,15532,{},9,0,"{""name"":""rect"",""x"":26,""y"":11,""width"":6,""height"":22}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[26, 32, 11, 33]",Contact,FrontGridInterruption
73056,M0641C053000.jpg,13561,{},1,0,"{""name"":""rect"",""x"":139,""y"":116,""width"":6,""height"":37}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[139, 145, 116, 153]",Contact,FrontGridInterruption
20873,M0338C051100.jpg,6965,{},5,0,"{""name"":""rect"",""x"":104,""y"":125,""width"":3,""height"":44}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[104, 107, 125, 169]",Contact,FrontGridInterruption
14515,M0164C003000.jpg,22679,{},9,0,"{""name"":""rect"",""x"":130,""y"":84,""width"":8,""height"":68}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[130, 138, 84, 152]",Contact,FrontGridInterruption
56682,M0595C015100.jpg,17541,{},5,3,"{""name"":""polygon"",""all_points_x"":[19,19,27,27,19],""all_points_y"":[155,181,181,155,155]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[19, 27, 155, 181]",Contact,FrontGridInterruption
37972,M0393C039000.jpg,15414,{},18,14,"{""name"":""rect"",""x"":154,""y"":17,""width"":7,""height"":30}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[154, 161, 17, 47]",Contact,FrontGridInterruption
74166,M0643C042000.jpg,14000,{},7,0,"{""name"":""rect"",""x"":80,""y"":190,""width"":4,""height"":26}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[80, 84, 190, 216]",Contact,FrontGridInterruption
65191,M0633C055000.jpg,13716,{},6,3,"{""name"":""rect"",""x"":182,""y"":203,""width"":5,""height"":44}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[182, 187, 203, 247]",Contact,FrontGridInterruption
37908,M0393C036000.jpg,16262,{},22,20,"{""name"":""rect"",""x"":47,""y"":16,""width"":6,""height"":11}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[47, 53, 16, 27]",Contact,FrontGridInterruption
86287,M0872C055100.jpg,17130,{},4,3,"{""name"":""rect"",""x"":35,""y"":67,""width"":8,""height"":64}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[35, 43, 67, 131]",Contact,FrontGridInterruption
